Key,Id,English(en),Russian(ru)
MORPH_EVOLUTION_READY_NOTIFICATION,797813909741568,Morph Evolution Ready,Эволюция морфа готова
MORPH_EVOLVED_NOTIFICATION_FORMAT,67934085121,<1>{morphName}</1> morph is now evolved and active,Морф <1>{morphName}</1> эволюционировал и активен
MORPH_READY_TO_EVOLVE_NOTIFICATION_FORMAT,67934085120,Morph <1>{morphName}</1> is ready to evolve at <1>The Shade</1>,Морф <1>{morphName}</1> готов к эволюции у <1>Тени</1>
NPC_TALK_PROMPT,68219297794,Talk,Говорить
OBELISK_CHARGED,9784231948443648,Charged,Заряжен
OBELISK_CHARGES_IN_TIME,9784332292972544,Charges in {0},Зарядится через {0}
OBELISK_ENTER_NEXT_STAGE_PROMPT,67929890817,Next Stage,Следующий этап
OVERCHARGE_READY_NOTIFICATION,1200000000001015,Overcharge Ready,Перегрузка готова
OVERTIME_COLLAPSE_COMPLETE_NOTIFICATION,68219297805,Collapse has ended!,Коллапс завершился!
OVERTIME_PHASE_CHANGED_NOTIFICATION,68219297804,Enemies are getting stronger,Враги становятся сильнее
PICKUP_ABILITY_NAME_FORMAT,68219297820,Ability - {powerupName},Способность — {powerupName}
PICKUP_FOOD_NAME_FORMAT,68219297823,Food ({healPercent}%),Еда ({healPercent}%)
PICKUP_GOLD_NAME_FORMAT,68219297825,{goldAmount} Gold,{goldAmount} золота
PICKUP_MAGNET_NAME,68219297826,Magnet,Магнит
PICKUP_MORPH_NAME_FORMAT,68219297822,Morph - {powerupName},Морф — {powerupName}
PICKUP_RELIC_NAME_FORMAT,68219297824,Relic - {relicName},Реликвия — {relicName}
PICKUP_TRAIT_NAME_FORMAT,68219297821,Trait - {powerupName},Трейт — {powerupName}
RIFT_CAPTURED_FLAT_SCORE_REWARD_MESSAGE,68219297812,+{scoreAmount} Score,+{scoreAmount} очков
RIFT_CAPTURED_SCORE_BONUS_MESSAGE,68219297811,{scoreModifier} Score Bonus,{scoreModifier} к очкам
RIFT_CAPTURED_TIME_REWARD_MESSAGE,68219297813,+{seconds}s Gained,+{seconds}с получено
RUNESTONE_CAPTURED_NOTIFICATION,67938279426,Runestone captured,Рунный камень захвачен
SHRINE_BEGIN_MUTATED_TRIAL_PROMPT,68219297796,Begin the Mutated Trial,Начать мутировавшее испытание
SHRINE_BEGIN_TRIAL_PROMPT,68219297795,Begin the Trial,Начать испытание
SHRINE_OF_POWER_SPAWNED_NOTIFICATION,1200000000001003,{shrineName} has appeared,{shrineName} появилось
THE_SHADE_APPEARED_NOTIFICATION,4584181639143424,<1>The Shade</1> has appeared on the map,<1>Тень</1> появилась на карте
TREASURE_REWARD_CHEST_REWARD_HEALTH_COMMON_NAME,68206714880,Old Cheese,Старый сыр
TREASURE_REWARD_CHEST_REWARD_HEALTH_EPIC_NAME,68210909184,Elixir of Life,Эликсир жизни
TREASURE_REWARD_CHEST_REWARD_HEALTH_RARE_NAME,68210909185,Chicken,Курица
TREASURE_REWARD_CHEST_REWARD_MAGNET_DESC,68210909187,Collects all experience from the map,Собирает весь опыт с карты
TREASURE_REWARD_CHEST_REWARD_MAGNET_NAME,68210909186,Magnet,Магнит
ZONE_ENTERED_NOTIFICATION,68219297827,Entering {zoneName},Вход в {zoneName}
