Key,Id,English(en),Russian(ru)
BOSS_SUMMON_DESCRIPTION,705708495462400,<2>Offer</2> your stashed chaos <2>to summon</2> a boss,"<2>Поднесите</2> накопленный хаос, <2>чтобы призвать</2> босса"
BOSS_SUMMON_DIFFICULTY_COLUMN_LABEL,705934832689152,Difficulty,Сложность
BOSS_SUMMON_REWARDS_COLUMN_LABEL,705873218363392,Rewards,Награды
BOSS_SUMMON_WINDOW_TITLE,706010162388992,Summoning Ritual,Ритуал призыва
BUILDS_PRESETS_LABEL,677728788406272,Presets,Пресеты
BUILD_PRESET_CHANGED_NOTIFICATION,742443346550784,Preset {0} Activated,Пресет {0} активирован
BULK_SALVAGE_BUTTON,795977819611136,Bulk Salvage,Разобрать всё
CARD_SCREEN_MORPH_APPEAR_HINT,801825690214400,Collect Shade Essence to gain,"Соберите эссенцию Тени, чтобы получить"
CHALLENGES_DIFFICULTY_COLUMN_LABEL,802170944348160,Difficulty,Сложность
CHALLENGES_REWARDS_COLUMN_LABEL,802256243908608,Rewards,Награды
CHALLENGE_TIME_LIMIT,802741667487744,Complete within {seconds} seconds,Завершите за {seconds} с
CHAOS_LEVEL_LABEL,406943662333952,Chaos Level,Уровень хаоса
CHARACTER_DETAILS_PANEL_HEADER,782281512837120,Details,Подробности
CHARACTER_DETAILS_TAB,782501281783808,Details,Подробности
CHARACTER_DETAILS_TOGGLE,1111811196706816,Details,Подробности
CHARACTER_WINDOW_TITLE,800695157514240,Character,Персонаж
CHOOSE_NEW_ABILITY_HEADER,801714511798272,CHOOSE NEW ABILITY,ВЫБЕРИТЕ НОВУЮ СПОСОБНОСТЬ
CINEMATIC_SKIP_HOLD_PROMPT,837303193821184,Hold [W0] to skip,"Удерживайте [W0], чтобы пропустить"
CLOSE_POPUP_BUTTON,799004676841472,Close,Закрыть
CONTINUE_NEXT_STAGE_BUTTON,801545527484416,Continue to Stage {stageNumber},Перейти к этапу {stageNumber}
CONTROLS_AIMING_AUTOMATIC_TOGGLE,431041213882368,Automatic,Авто
CONTROLS_AIMING_MANUAL_TOGGLE,430800288866304,Manual,Вручную
CONTROLS_CONTROLLER_INFO,7226818636537856,Controller auto-detects when plugged in,Контроллер определяется автоматически при подключении
CONTROLS_INPUT_KEYBOARD_TOGGLE,431100374540288,Keyboard,Клавиатура
CONTROLS_INPUT_MOUSE_TOGGLE,431171879034880,Mouse,Мышь
CONTROLS_PANEL_AIMING_TITLE,428882179121152,Aiming,Прицеливание
CONTROLS_PANEL_TITLE,428512010821632,Game Controls,Управление
DAMAGE_METER_AVERAGE_LABEL,765070668718080,Avg:,Сред.:
DAMAGE_METER_DPS_LABEL,764988397445120,DPS:,DPS:
DELETE_SAVE_SLOT_BUTTON,106686860746752,Delete,Удалить
DIALOGUE_CONTINUE_BUTTON,1102417109180416,Continue,Продолжить
DIFFICULTY_HARD,789910129729536,Hard,Сложно
DIFFICULTY_MAGIC_FIND_BONUS,789980086525952,Magic Find: <1>{0}</1>,Поиск магии: <1>{0}</1>
DIFFICULTY_NORMAL,789858246189056,Normal,Обычная
DIFFICULTY_SCORE_BONUS,790032183975936,Bonus Score: <1>{0}</1>,Бонусные очки: <1>{0}</1>
EFFIGY_ACTIVATE_BUTTON,703574236454912,Activate,Активировать
EFFIGY_ACTIVATE_DESCRIPTION,703174137602048,<2>Spend</2> your <2>chaos</2> to <2>boost rewards</2> for higher difficulty,"<2>Потратьте</2> <2>хаос</2>, чтобы <2>повысить награды</2> за рост сложности"
EFFIGY_DIFFICULTY_COLUMN_LABEL,703384934932480,Difficulty,Сложность
EFFIGY_REWARDS_COLUMN_LABEL,703505084964864,Rewards,Награды
EFFIGY_WINDOW_TITLE,703319323435008,Effigy,Идол
END_GAME_ACHIEVEMENTS_HEADER,753395869671424,Achievements,Достижения
END_GAME_CHAOS_GAINED_LABEL,753210498211840,Chaos Gained,Получено хаоса
END_GAME_CHAOS_LEVEL_LABEL,107679455371291,Chaos Level {level},Уровень хаоса {level}
END_GAME_CONTINUE_BUTTON,755844370128896,Continue,Продолжить
END_GAME_DAMAGE_DEALT_LABEL,755477221728256,Damage Dealt,Нанесено урона
END_GAME_DAMAGE_STATISTICS_DAMAGE_COLUMN_LABEL,753652175200256,Damage,Урон
END_GAME_DAMAGE_STATISTICS_HEADER,753464287158272,Damage Statistics,Статистика урона
END_GAME_DAMAGE_STATISTICS_NAME_COLUMN_LABEL,753520843153408,Name,Имя
END_GAME_DAMAGE_STATISTICS_TIME_COLUMN_LABEL,753620009082880,Time,Время
END_GAME_EXPEDITION_CLEAR_COMPLETE_TITLE,750585082011648,{mapName} Clear Complete,{mapName}: зачистка завершена
END_GAME_EXPEDITION_CLEAR_FAILED_TITLE,750648676048896,{mapName} Clear Failed,{mapName}: зачистка провалена
END_GAME_EXTRACTED_ITEMS_TAB,749355781840896,Extracted,Извлечено
END_GAME_EXTRACTION_COMPLETE_TITLE,750426600235008,{mapName} Extraction Complete,{mapName}: извлечение завершено
END_GAME_GLOBAL_RANK_MESSAGE,107679455371287,Rank #{rank} of all players,Место #{rank} среди всех игроков
END_GAME_GOLD_COLLECTED_LABEL,755509010358272,Gold Collected,Собрано золота
END_GAME_HERO_LEVEL_LABEL,755540832542720,Hero Level,Уровень героя
END_GAME_KILLS_LABEL,755422205042688,Kills,Убийства
END_GAME_NEW_HIGH_SCORE_LABEL,757254092480512,New High Score,Новый рекорд
END_GAME_RESTART_BUTTON,755742184300544,Restart,Заново
END_GAME_RIFTS_CLOSED_LABEL,755599221448704,Rifts Closed,Закрыто разломов
END_GAME_RUN_POWERS_TAB,749447460937728,Run Powers,Усиления забега
END_GAME_RUN_XP_REWARD_MESSAGE,107679455371292,+{experience} xp,+{experience} опыта
END_GAME_SCORE_LABEL,755640447262720,Score,Очки
END_GAME_SKIP_ANIMATIONS_BUTTON,755792176209920,Skip,Пропустить
END_GAME_TIME_SURVIVED_LABEL,755159083769856,Time Survived,Время выживания
ENTER_MAP_BUTTON,790125565960192,Start {0},Начать {0}
ENUM_ACHIEVEMENT_CATEGORY_ABILITY_LABEL,710000000000028,Abilities,Способности
ENUM_ACHIEVEMENT_CATEGORY_FEATS_OF_STRENGTH_LABEL,710000000000033,Feats of Strength,Подвиги
ENUM_ACHIEVEMENT_CATEGORY_GENERAL_LABEL,710000000000027,General,Общие
ENUM_ACHIEVEMENT_CATEGORY_LIFETIME_LABEL,710000000000031,Lifetime,За всё время
ENUM_ACHIEVEMENT_CATEGORY_MORPH_LABEL,710000000000029,Morphs,Морфы
ENUM_ACHIEVEMENT_CATEGORY_RELIC_LABEL,710000000000030,Relics,Реликвии
ENUM_ACHIEVEMENT_CATEGORY_RUN_LABEL,710000000000032,Runs,Забеги
ENUM_ACHIEVEMENT_CATEGORY_SECRET_LABEL,710000000000034,Secrets,Секреты
ENUM_ACHIEVEMENT_CATEGORY_UNDEFINED_LABEL,710000000000026,Undefined,Не определено
ENUM_DAMAGE_CATEGORY_BLEED_LABEL,710000000000020,Bleed,Кровотечение
ENUM_DAMAGE_CATEGORY_BURN_LABEL,710000000000018,Burn,Горение
ENUM_DAMAGE_CATEGORY_COLD_LABEL,710000000000023,Cold,Холодный
ENUM_DAMAGE_CATEGORY_FIRE_LABEL,710000000000019,Fire,Огненный
ENUM_DAMAGE_CATEGORY_LIGHTNING_LABEL,710000000000017,Lightning,Молния
ENUM_DAMAGE_CATEGORY_MYSTIC_LABEL,710000000000024,Mystic,Мистический
ENUM_DAMAGE_CATEGORY_NECROTIC_LABEL,710000000000021,Necrotic,Некротический
ENUM_DAMAGE_CATEGORY_PHYSICAL_LABEL,710000000000016,Physical,Физический
ENUM_DAMAGE_CATEGORY_POISON_LABEL,710000000000025,Poison,Ядовитый
ENUM_DAMAGE_CATEGORY_SHADOW_LABEL,710000000000022,Shadow,Теневой
ENUM_HERO_CLASS_MAGE_LABEL,710000000000037,Mage,Маг
ENUM_HERO_CLASS_PALADIN_LABEL,710000000000036,Paladin,Паладин
ENUM_HERO_CLASS_UNDEFINED_LABEL,710000000000035,Undefined,Не определено
ENUM_INVENTORY_SORT_BY_ACQUISITION_LABEL,710000000000000,By Acquisition,По получению
ENUM_INVENTORY_SORT_BY_ITEM_LEVEL_LABEL,710000000000002,By Item Level,По уровню предмета
ENUM_INVENTORY_SORT_BY_ITEM_TYPE_LABEL,710000000000003,By Item Type,По типу предмета
ENUM_INVENTORY_SORT_BY_RARITY_LABEL,710000000000001,By Rarity,По редкости
ENUM_POWERUP_TAG_AREA_LABEL,710000000000059,Area,Площадь
ENUM_POWERUP_TAG_CRIT_LABEL,710000000000057,Crit,Крит
ENUM_POWERUP_TAG_CROWD_CONTROL_LABEL,710000000000064,Crowd Control,Контроль
ENUM_POWERUP_TAG_DAMAGE_LABEL,710000000000068,Damage,Урон
ENUM_POWERUP_TAG_DASH_LABEL,710000000000065,Dash,Рывок
ENUM_POWERUP_TAG_ECONOMY_LABEL,710000000000067,Economy,Экономика
ENUM_POWERUP_TAG_HASTE_LABEL,710000000000061,Haste,Спешка
ENUM_POWERUP_TAG_MOVE_SPEED_LABEL,710000000000066,Move Speed,Скорость передвижения
ENUM_POWERUP_TAG_OVERCHARGE_LABEL,710000000000063,Overcharge,Перегрузка
ENUM_POWERUP_TAG_PROJECTILE_LABEL,710000000000058,Projectile,Снаряд
ENUM_POWERUP_TAG_STATUS_EFFECTS_LABEL,710000000000060,Status Effects,Статус-эффекты
ENUM_POWERUP_TAG_SUSTAIN_LABEL,710000000000062,Sustain,Устойчивость
ENUM_POWERUP_TAG_UNDEFINED_LABEL,710000000000056,Undefined,Не определено
ENUM_STAT_PREFIX_APPLY_CHANCE_LABEL,710000000000015,Apply Chance,Шанс наложения
ENUM_STAT_PREFIX_ATTACK_SPEED_LABEL,710000000000011,Attack Speed,Скорость атаки
ENUM_STAT_PREFIX_BOUNCE_COUNT_LABEL,710000000000012,Bounce Count,Кол-во отскоков
ENUM_STAT_PREFIX_COOLDOWN_LABEL,710000000000005,Cooldown,Перезарядка
ENUM_STAT_PREFIX_COUNT_LABEL,710000000000006,Count,Количество
ENUM_STAT_PREFIX_DAMAGE_LABEL,710000000000004,Damage,Урон
ENUM_STAT_PREFIX_DURATION_LABEL,710000000000007,Duration,Длительность
ENUM_STAT_PREFIX_PROJECTILE_COUNT_LABEL,710000000000008,Projectile Count,Кол-во снарядов
ENUM_STAT_PREFIX_RADIUS_LABEL,710000000000010,Radius,Радиус
ENUM_STAT_PREFIX_RANGE_LABEL,710000000000013,Range,Дальность
ENUM_STAT_PREFIX_SPREAD_CHANCE_LABEL,710000000000009,Spread Chance,Шанс распространения
ENUM_STAT_PREFIX_TRIGGER_CHANCE_LABEL,710000000000014,Trigger Chance,Шанс срабатывания
ENUM_TREE_NODE_TYPE_MAJOR_LABEL,710000000000070,Major,Крупный
ENUM_TREE_NODE_TYPE_MINOR_LABEL,710000000000069,Minor,Малый
ENUM_TREE_NODE_TYPE_SPECIALIZATION_LABEL,710000000000071,Specialization,Специализация
EPIC_REROLL_BUTTON,803347178184704,Epic\nReroll,Эпическая\nперекрутка
ETERNAL_TREE_BUY_POINTS_BUTTON,742232792489984,Buy Point,Купить очко
ETERNAL_TREE_MAX_POINTS_REACHED_NOTIFICATION,742350786650112,Maximum points reached,Достигнут максимум очков
ETERNAL_TREE_POINTS_AVAILABLE_LABEL,742278279716864,Points Available,Доступно очков
ETERNAL_TREE_RESET_POINTS_BUTTON,742097333248000,Reset,Сбросить
ETERNAL_TREE_TOTAL_POINTS_PURCHASED_LABEL,740067478855680,Total Points Purchased,Всего куплено очков
EVOLUTION_MORPHS_LABEL,804303055872000,Evolution Morphs,Эволюционные морфы
EXPEDITION_MODE_WINDOW_TITLE,788791815036928,Expedition Mode,Режим экспедиции
FOCUS_TRAITS_LABEL,1098380674588672,Focus Traits,Черты сосредоточения
FOCUS_TRAIT_PROGRESS_LABEL,107679455371290,{currentProgress}/{requiredProgress},{currentProgress}/{requiredProgress}
FOCUS_TRAIT_TAG_LABEL,8684658739896320,Focus Trait,Черта сосредоточения
GAME_CONTROLS_HINT,8733130625114112,Choose your playstyle,Выберите свой стиль игры
GEAR_ITEM_LEVEL_LABEL,1200000000000017,Item Level {itemLevel},Уровень предмета {itemLevel}
GEAR_ITEM_TYPE_LABEL,1200000000000018,{rarity} {gearType},{rarity} {gearType}
GEAR_SLOT_UNDEFINED_LABEL,710000000000042,Undefined,Не определено
GLUE_SCREEN_LOADING_LABEL,799376430587904,Loading,Загрузка
HERO_EXPERIENCE_LABEL,107679455371289,{currentExperience} / {requiredExperience},{currentExperience} / {requiredExperience}
HERO_LEVEL_LABEL,107679455371288,Level {level},Уровень {level}
HERO_TOTAL_ITEM_LEVEL_LABEL,8668351617294336,Total Item Lvl,Сумм. ур. предметов
HUD_ESCAPE_TO_OBELISK_HINT,763776159703040,Escape to Obelisk,Бегство к Обелиску
HUD_OPEN_CHARACTER_SHEET_TOGGLE,782075169857536,Character,Персонаж
HUD_OPEN_INVENTORY_TOGGLE,782177078861824,Inventory,Инвентарь
INVENTORY_EXTRACTED_ITEMS_HEADER,754854329835520,Extracted Items,Вынесенные предметы
INVENTORY_EXTRACTED_RESOURCES_HEADER,754718245642240,Extracted Resources,Вынесенные ресурсы
INVENTORY_TITLE,400314178985984,Inventory,Инвентарь
LEADERBOARD_BEST_IN_WORLD,789148884525056,Best in the World,Лучший в мире
LEADERBOARD_FRIENDS_TAB,789005128949760,Friends,Друзья
LEADERBOARD_GLOBAL_TAB,788950229704704,Global,Глобальный
LEADERBOARD_NAME_DISALLOWED_ERROR,107679455371276,Please choose a different name.,Выберите другое имя.
LEADERBOARD_NAME_EMPTY_ERROR,107679455371272,Name cannot be empty.,Имя не может быть пустым.
LEADERBOARD_NAME_INVALID_CHARACTERS_ERROR,107679455371275,"Name can only use letters, numbers, spaces, '_' and '-'.","Имя может содержать только буквы, цифры, пробелы, «_» и «-»."
LEADERBOARD_NAME_SAVE_FAILED_ERROR,107679455371271,Failed to save name. Please try again.,Не удалось сохранить имя. Попробуйте ещё раз.
LEADERBOARD_NAME_TOO_LONG_ERROR,107679455371274,Name must be at most {maxLength} characters long.,Имя должно содержать не более {maxLength} символов.
LEADERBOARD_NAME_TOO_SHORT_ERROR,107679455371273,Name must be at least {minLength} characters long.,Имя должно содержать не менее {minLength} символов.
LEADERBOARD_PLAYER_NOT_YET_RANKED,789061592670208,No Rank Yet,Без ранга
LEADERBOARD_RESET_DAYS_ABBREVIATED,200000000000002,{value}d,{value} д
LEADERBOARD_RESET_HOURS_ABBREVIATED,200000000000003,{value}h,{value} ч
LEADERBOARD_RESET_MINUTES_ABBREVIATED,200000000000004,{value}m,{value} мин
LEADERBOARD_RESET_TIMER_LABEL,790180000000000,{timeLeft} until reset,{timeLeft} до сброса
LEADERBOARD_TITLE,788889726869504,Leaderboard,Таблица лидеров
LEADERBOARD_TOP_PLAYERS_INFO,107679455371293,In top {0}% of players,В топ-{0}% игроков
LEADERBOARD_UNAVAILABLE_WARNING,3975230161674240,Leaderboards are temporarily unavailable,Таблицы лидеров временно недоступны
LEGENDARY_POWER_ACTIVATED,804197829173248,Legendary power activated,Легендарная сила активирована
LEVEL_UP_PICKER_TITLE,107679455371284,Level Up,Повышение уровня
MAIN_MENU_SAVE_SLOTS_HEADER,101237025398784,Continue or start a new profile,Продолжите или создайте новый профиль
MAPSELECTION_BOSSINFO,10069096783872,Bosses: {0},Боссы: {0}
MAPSELECTION_STAGEINFO,10216346214400,Stages: {0},Этапы: {0}
MAP_DIFFICULTY_LABEL,789782786465792,Difficulty,Сложность
MAP_SELECT_STAGES_COUNT_FOR_TIER,1738616710619136,Stages: <1>{0}</1>,Этапы: <1>{0}</1>
MAP_TIERS_TITLE,788839818846208,Map Tiers,Уровни карт
MAP_UNDERCRYPT_NAME,790331380457472,Undercrypt,Подземный склеп
MORPH_EVOLVE_BUTTON,803116550184960,Evolve Now,Развить сейчас
MORPH_PICKER_TITLE,107679455371283,Choose Morph to Pursue,Выберите морф для развития
MORPH_VENDOR_CLOSE_BUTTON,803022245453824,Leave,Уйти
NEW_POWERUP_HINT,1100710409134080,NEW,НОВОЕ
NOTIFICATION_FEATURE_UNLOCKED_POSTFIX,2891813659598848,Unlocked,разблокировано
ONBOARDING_ARSENAL_WINDOW_DESC,50984804933633,<1>Arsenal</1> is now available. Open it to learn new powers and create your builds.,"<1>Арсенал</1> теперь доступен. Откройте его, чтобы изучать новые силы и создавать свои сборки."
ONBOARDING_ARSENAL_WINDOW_TITLE,50984804933632,Arsenal,Арсенал
ONBOARDING_EXPLAIN_ARSENAL_DESC,50984804933635,"Add abilities and relics here to decide what can appear in a run.
During a run, <1>shrines</1> and <1>chests</1> only offer random picks from what you added.","Добавляйте сюда способности и реликвии, чтобы решить, что может выпасть в забеге.
Во время забега <1>святилища</1> и <1>сундуки</1> предлагают лишь случайный выбор из того, что вы добавили."
ONBOARDING_EXPLAIN_ARSENAL_DETAIL_DESC,50984809127941,"Learn new abilities and buy relics.

Active powers <1>have a chance</1> to appear during your runs.
Arsenal is where you shape your playstyle.","Изучайте новые способности и покупайте реликвии.

Активные силы <1>имеют шанс</1> появиться в ваших забегах.
Арсенал — это место, где вы формируете свой стиль игры."
ONBOARDING_EXPLAIN_ARSENAL_TITLE,50984804933634,Build your Power,Создайте свою силу
ONBOARDING_EXPLAIN_COLLAPSE_DESC,50984809127945,"While the <1>Obelisk</1> is open, you can seal <1>Rifts</1> for <1>Chaos</1> and <1>Score</1>. Sealing also extends the timer.

When the timer runs out, <1>The Collapse</1> begins, and deadly corruption slowly consumes the map.","Пока <1>Обелиск</1> открыт, вы можете запечатывать <1>Разломы</1> ради <1>Хаоса</1> и <1>Очков</1>. Запечатывание также продлевает таймер.

Когда таймер истекает, начинается <1>Коллапс</1>, и смертоносная порча медленно поглощает карту."
ONBOARDING_EXPLAIN_COLLAPSE_TITLE,50984804933636,Rifts,Разломы
ONBOARDING_EXPLAIN_EXIT_PORTAL_DESC,50984809127942,"This portal lets you leave the run early and keep your loot.

You can return here later to extract.","Этот портал позволяет покинуть забег раньше и сохранить добычу.

Вы можете вернуться сюда позже, чтобы эвакуироваться."
ONBOARDING_EXPLAIN_EXIT_PORTAL_TITLE,50984804933637,Exit Portal,Портал выхода
ONBOARDING_EXPLAIN_LOOT_SAFETY_DESC,50984809127944,"Your first <1>3 loot items</1> are secured automatically.

Any extra loot is unsecured and will be lost if you die.","Первые <1>3 предмета добычи</1> защищаются автоматически.

Любая лишняя добыча не защищена и будет потеряна, если вы погибнете."
ONBOARDING_EXPLAIN_LOOT_SAFETY_TITLE,50984804933638,Loot Safety,Сохранность добычи
ONBOARDING_EXPLAIN_OBELISK_DESC,50984809127943,<1>The Obelisk</1> is now charged: <1>Escape</1> to complete the Expedition.,"<1>Обелиск</1> заряжен: <1>сбегите</1>, чтобы завершить Экспедицию."
ONBOARDING_EXPLAIN_OBELISK_TITLE,50984809127936,The Obelisk,Обелиск
ONBOARDING_INVENTORY_DESC,50984809127938,You have a new item. Open inventory and equip it to get stronger.,"У вас новый предмет. Откройте инвентарь и наденьте его, чтобы стать сильнее."
ONBOARDING_INVENTORY_TITLE,50984809127937,Equipment,Снаряжение
ONBOARDING_SHRINE_OF_POWER_DESC,50984809127940,Locate and activate Shrine of Power to gain a new ability,"Найдите и активируйте Святилище силы, чтобы получить новую способность"
ONBOARDING_SHRINE_OF_POWER_TITLE,50984809127939,Gaining Abilities,Получение способностей
OPTIONS_ANTI_ALIASING_LABEL,671270394912768,Anti-Aliasing,Сглаживание
OPTIONS_CAMERA_SHAKE_LABEL,699516859703296,Camera Shake,Тряска камеры
OPTIONS_CATEGORY_AUDIO_TAB,669909833998336,Audio,Звук
OPTIONS_CATEGORY_DISPLAY_TAB,670013101957120,Display,Экран
OPTIONS_CATEGORY_GAME_TAB,669815252443136,Game,Игра
OPTIONS_COMBAT_LOG_LABEL,670456305672192,Combat Log,Боевой лог
OPTIONS_CONFINE_CURSOR_LABEL,670277485715456,Confine Cursor,Удерживать курсор
OPTIONS_DAMAGE_METER_LABEL,670510210867200,Damage Meter,Счётчик урона
OPTIONS_FRAME_RATE_LIMIT_LABEL,671525433761793,Frame Rate Limit,Ограничение кадров
OPTIONS_FULLSCREEN_LABEL,671226585407488,Fullscreen,Полный экран
OPTIONS_GLOBAL_VOLUME_LABEL,670089450872832,Global Volume,Общая громкость
OPTIONS_GRAPHIC_QUALITY_LABEL,671415928872960,Graphic Quality,Качество графики
OPTIONS_INPUT_HAND_MODE_LABEL,1200000000000100,Input Hand Mode,Режим руки
OPTIONS_LANGUAGE_LABEL,1200000000000103,Language,Язык
OPTIONS_MUSIC_LABEL,670158640111616,Music,Музыка
OPTIONS_PANEL_TITLE,669714740142080,Options,Настройки
OPTIONS_RESOLUTION_LABEL,671475202777088,Resolution,Разрешение
OPTIONS_SHADOWS_LABEL,671375525142528,Shadows,Тени
OPTIONS_SHOW_DAMAGE_NUMBERS_LABEL,670379273084928,Show Damage Numbers,Показывать числа урона
OPTIONS_SOUND_EFFECTS_LABEL,670207730245632,SFX,Звук. эффекты
OPTIONS_SPECIAL_EFFECT_QUALITY_LABEL,671525433761792,Special Effect Quality,Качество спецэффектов
OPTIONS_SSAO_LABEL,671320512651264,SSAO,SSAO
OPTIONS_VSYNC_LABEL,671164920750080,VSync,Верт. синхронизация
PAUSE_MENU_GIVE_UP_BUTTON,666872348401664,Give Up,Сдаться
PAUSE_MENU_MAIN_MENU_BUTTON,663522361991168,Main Menu,Главное меню
PAUSE_MENU_OPTIONS_BUTTON,663472089063424,Options,Настройки
PAUSE_MENU_QUIT_BUTTON,663589739290624,QUIT,Выход
PAUSE_MENU_RESTART_BUTTON,666826634682368,Restart,Заново
